case,algorithm,cut,T,num,LB,UB,gap_str,time,runtime
case30,SDDPL,SBCLC,6,5,3300.591661033228,3302.514183638787,0.06%,26.983,30.475
case30,SDDPL,SBCLC,8,5,5527.367312102255,5523.949167640375,-0.06%,143.222,153.985
case30,SDDPL,SBCLC,12,5,9347.27836678642,9891.1223295001,5.5%,4971.666,6056.061
